videoId,title,description,tags,likeCount,commentCount,viewCount,publishedAt,channelTitle
_GziHDdJY10,Don’t Skip These 3 Biceps Exercises,"Here are my top 3 biceps exercises of all time.

In 3rd place - the EZ bar curl. Compared to a straight bar, these put my wrists in a more comfortable position, which is important because I hit these with heavier weight in the 6-8 rep range.

In 2nd place - the hammer curl. Even though these might target the brachialis a bit more than the biceps per se, the brachialis is actually the same size as both heads of the biceps combined. And it pushes the biceps up and out more, giving the illusion of bigger biceps.

You can probably make these even more effective by doing the preacher hammer curl. By fixing your arm against a preacher bench, you pull tension into the bottom range of motion; where you get the deepest stretch — the bench also prevents cheating. 

And my number one exercise gives a huge stretch on the biceps, even tension throughout the range of motion, it feels good, and it’s easy to overload. It’s the bayesian cable curl.","biceps exercises, biceps exercise, exercises for biceps, exercise for biceps, how to build big biceps, how to get big biceps, best biceps exercise, best biceps exercises, exercises for bigger biceps, biceps workout and exercises, how to get bigger biceps, how to build bigger biceps, biceps workout, big biceps workout, athleanx, jeff nippard biceps, jeff nippard arms, mike israetel arms, biceps tier list, tier list, biceps tier list jeff nippard, bayesian cable curl",447752,1830,8726418,2024-10-28T18:50:22Z,Jeff Nippard
46Ae9zoLEcg,The Best Leg Exercises,"💪 Master Calisthenics With Me - Shop fitnessfaqs.com 
#fitness #workout #gym",,159533,362,2267269,2024-08-24T15:00:07Z,FitnessFAQs
pbXc5E2tHOE,Muscle Building Vs Strength Training,💪  Get my calisthenics workouts here - fitnessfaqs.com #fitness #workout #gym,,262648,880,3333601,2024-03-13T14:00:42Z,FitnessFAQs
imEjDYiYmrI,Dumbbell Only Full Body Workout,🔔 Subscribe to FitnessFAQs And Master Calisthenics #fitness #workout #gym,,49119,194,623225,2024-02-28T14:00:37Z,FitnessFAQs
FtSZXlvl3Wk,The BEST Biceps Peak Exercise,"✅ Subscribe to my main fitness channel: https://www.youtube.com/user/NalewanyjFitness

Get Your FREE Workout & Diet Plan:
📝 https://www.SeanNal.com/freeplan

Premium Quality, Science-Based Supplements:
💊 https://www.RealScienceAthletics.com/
(Save 10% with coupon code YOUTUBE10)

Connect With Me:
👉 https://www.instagram.com/Sean_Nalewanyj
👉 https://www.tiktok.com/@sean_nalewanyj






#fitness #gym #workout #buildmuscle #bodybuilding","bodybuilding, fitness, build muscle, gym, workout, hypertrophy, muscle building, muscle growth, fat loss, burn fat, weight loss, fat burning, diet, nutrition",76988,811,1611420,2024-04-25T18:01:21Z,Sean Nalewanyj Shorts
lf8cleyFDYM,4 Amazing Lat Exercises You’re Missing Out On,"Let's look at four super effective lat exercises that you probably don't know about! These exercises all focus on a deep lat stretch, something new research shows is great for muscle growth. From neutral grip pull-ups that keep the lats stretched to lat-focused cable rows with lengthened partials, this video will show you how to target your lats with some new techniques.","lats, lat, lat exercise, lats exercises, lat exercises, lat workout, lat workouts, lat muscle, back exercise, back exercises, back workout, back workouts, build big lats, how to build big lats, how to get big lats, big lats, bigger lats, get bigger lats, wider lats, latissimus dorsi, exercise for lats, exercises for lats, exercise for big lats, exercises for big lats, best lat exercises, best lat exercise, how to get bigger lats, athleanx, jeff cavaliere, jeff nipard",690554,1495,10292166,2023-12-07T17:08:06Z,Jeff Nippard
14GR_avydLA,Improve your ‘Shoulder Gains’ with these 4 exercises & tips💪#shoulders #gym #workout,,,67920,311,1357185,2024-05-14T17:00:02Z,Dickerson Ross
IEIw7k7Z37w,Dumbbell Shoulder Workout,#workout #dumbbell #shoulder #gym #bodybuilding,"shoulder workout, dumbbell workout at home, litvinov fit, gym, fitness, training",190753,747,2755598,2024-12-23T15:20:00Z,LITVINOV FIT
SxU5mSz74iI,"📌4 LEG DAY STAPLES with Dumbbells to Target : MORE GLUTES, QUADS, ADDUCTORS or HAMS",,,155488,445,3992972,2024-09-26T03:18:53Z,SquatCouple
UEY2w-24DH0,❌Best chest WORKOUT ?,,,66970,109,1245707,2025-02-22T04:27:15Z,YOURFITNESSTORIES
_j0w2YjLkQs,Lose belly fat workout #fatloss #motivation #workout,,,24551,67,1419971,2024-10-30T00:09:02Z,Prem Fitness Club
CKw1nmZkNEs,WORKOUT PLAN WITH THE BEST RESULTS🔥 #bernardorebeil #workoutplan #workout #workoutroutine,,,144793,724,2523700,2023-06-18T23:01:29Z,Bernardo Rebeil
Hr7DTewFyrM,The Best Shoulder Workout in the World 💪,#shoulders #workout #gym,"shoulder workout, best shoulder workout, bigger shoulder workout, grow shoulders, how to get capped shoulders, capped delts, deltoid workout, arnold press, shoulders, get bigger shoulders, best shoulder exercises, adolfo tex",166083,399,5656439,2021-11-20T21:33:06Z,Adolfo
lrolFBYflLA,SIX PACK ABS WORKOUT FOR ALL FITNESS LEVELS! #sixpack #coreworkout #fitnessgoals,,,0,208,844036,2024-10-11T02:36:10Z,MDJ FITNESS
QqoMbZ5g-fw,LOWER BELLY FAT?!❌ DO THIS!✅,,,48248,314,664287,2024-10-01T20:19:51Z,MRLONDON
ro3GXTcqxc4,this is the ONLY full body workout you need! #shorts,,,0,166,1110235,2024-04-01T15:00:46Z,MadFit
yWnacRo2VbA,The BEST Way to Use Cardio to Lose Fat (Based on Science),"Do you need cardio for weight loss? And how much cardio should you actually do? Some say you don’t need any cardio for fat loss, whereas others say you gotta do a cardio workout every day. I was determined to find the truth. After reviewing the latest science, interviewing the smartest experts in the world, and speaking to some of the top natural bodybuilders in the industry, here’s what I found about using cardio to lose weight.

Special thanks to our guests for their valuable insight:

ALBERTO NUNEZ:
https://www.instagram.com/nunez3dmj/?hl=en 

LEE LEM:
https://www.youtube.com/@l_eel_em 

DR. ERIC HELMS:
https://www.instagram.com/helms3dmj/
https://massresearchreview.com/ 

Need more guidance? Click below to create a step by step science-based plan that shows you what to eat and what workouts to do to get you into the best shape of your life:
https://quiz.builtwithscience.com/

Click below to subscribe for more videos:
https://www.youtube.com/jeremyethier/?sub_confirmation=1

Do you need cardio for weight loss? Cardio isn’t nearly as effective as most people think when it comes to losing weight and fat because of the constrained energy model. Most research has shown that people who start doing cardio without any changes to their diet tend to lose 20-50% of what they’d expect from the calories they’ve burned. 

What about doing more cardio to lose weight? Without changing your diet, you’ve probably got to do a whole lot of cardio for it to have a meaningful effect on fat loss. Which isn’t a very efficient or realistic approach for most people.

The takeaway is that should think of cardio as a supplemental tool that you can stack on top of your diet to speed things up. 

But how much cardio, exactly, should you “stack on top”? I sought the opinions of Alberto Nunez, an extremely knowledgeable coach and lifetime drug-free pro bodybuilder who’s known for getting into insane levels of leanness, and Lee Lem, a natural bodybuilder just a few weeks out from his show. Surprisingly, both said that by using either a longer or more aggressive diet, they didn't really need cardio to lose weight or get into crazy shape.

But including cardio had its benefits. Alberto and Lee say maintaining a high daily step count helped them burn more calories and make sure they don’t get lazier as they get leaner.

But now I wanted to find out, on top of daily steps, how much actual “cardio” is required to get really lean? Here's Alberto's take: ""Usually the smaller the athlete, the more cardio we will have to do. It helps so they can eat a little bit more, which is obviously gonna help with the mental component to some extent.” But he also emphasized it’s lifestyle-dependent: ""I've had people do nothing. Nothing. And usually, this has to do with the occupation that if they don't move, they just get fired. So servers, personal trainers, labor-intensive jobs, things like that.""

But for most of his clients, ""7,000 steps on average as our baseline you have that set. I'd say most people, per week, are going to require 4 to 5 days of cardio to lose weight, ranging anywhere between 30 to 45 minutes.” This seemed to line up with Lee’s protocol as well. On top of 10,000 steps a day and lifting weights 4 times a week, he’s also doing 5x 30 minutes of cardio to lose weight.

But remember, this isn't just to get “six-pack abs lean”. We’re talking shredded. And they don’t do this much cardio right away. Whenever fat loss has stalled, and they’re not making progress, that’s typically when they decide whether or not they should add more cardio.

Now as for how much cardio per week YOU should aim for? What I’d recommend is start with Alberto’s recommendation of walking 7,000 steps a day as a baseline. Once you’re consistent with that, try adding in 2 to 3 20-minute cardio workouts per week. And although Lee and Alberto recommend cycling or the elliptical, you have plenty of other options when it comes to the type of cardio to lose weight. The key is to choose things you actually enjoy and can recover well from.

Now, from here, once your body adapts and you reach a stall in your progress using your current routine, you can choose to either eat a little bit less or add a little bit more cardio or steps to continue losing fat. You basically repeat this process for as long as it takes for you to reach your desired level of body fat.

But the last thing you want to do is start doing a bunch of cardio to lose weight during your diet and then stop cold turkey as soon as it’s over. Dr. Eric Helms says keeping some level of activity (7,000 to 9,000 steps per day and strength training 2-3x weekly) seems to prevent fat regain. This is why for long-term success, when choosing the type of cardio to lose weight, it’s so important to choose activities you can actually stick to.","cardio for weight loss, cardio, how much cardio, cardio for fat loss, cardio to lose weight, how much cardio for fat loss, cardio workout, weight loss workout at gym, best cardio for fat loss, how much cardio should I do to lose weight, how much cardio should I do, how to lose fat, how much cardio do you need to lose weight, builtwithscience, jeremyethier, cardio workout plan, cardio to lose fat, cardio to lose belly fat, how to lose belly fat, jeremy ethier, best cardio workout",117962,2355,5971436,2023-10-01T13:00:46Z,Jeremy Ethier
8uUawnM-FD8,Kids Exercise - Kids Workout At Home,"This short and easy workout is suitable for kids who need to exercise  at home or in the gym.

This workout improves their flexibility, improves their muscle strength, helps burn any unnecessary body fat while also boosting their metabolism and improving cardio circulation.

Exercise should be a part of every kid's life early on, to ensure that their bodies develop correctly, uniformly and healthy.

Remember that you need to exercise 4-5 days per week for 3-4 weeks to start seeing results.

After you complete this workout make sure to leave a comment below the video and tell me how you feel, and if this workout was easy or not!

Make sure to subscribe to receive video workouts regularly every Monday, Wednesday and Friday.

Good luck and let's begin!!❤️💪","kids exercise, kids workout, kids training, exercise for kids, workout for kids, training for kids, home exercise for kids, kids home exercise, kids home workout, kids home training, kids workout to lose weight, kids exercise to burn fat, children exercise, children workout, children training, kids exercise routine, kids workout plan, exercise for childre, how kids can exercise, roberta's gym, roberta gym",189735,0,29086611,2018-06-22T18:06:32Z,Roberta's Gym
3PMrt-1WDaI,The Best Workout Routine for Complete Beginners  **BUILD MUSCLE & LOSE FAT**,"Try my training app (Free Trial) 👉 https://apple.co/3zM9WoQ


■ Training Programs: https://www.joedelaneyfitness.com/ebooks
■ Body weight/body fat scales I use: https://bit.ly/3XklB8M
■ Instagram: @shredbundy",,24203,447,760830,2023-10-09T16:43:10Z,Joe Delaney
myKidp4Oebk,The Best Workout Split for Intermediate Lifters,"The best workout split for muscle growth and fat loss at the gym or at home. Most people should definitely give it a go.

#shorts #workout #gym","adolfo, shorts, noel deyzel, william li, davis diley, chris bumstead, sean nalewanyj shorts, dylan mcknight, justin lee, delta bolic, michael b jordan workout, workout split, intermediate workout, intermediate workout plan to build muscle",158590,1082,3985531,2022-07-29T17:30:05Z,Adolfo
fmLckmlbZHw,Best FULL BODY WORKOUT To Start !! #shorts #musclebuilding,This is the best way to start full body workouts for building muscle and losing fat.,"indian fitness, fitness tips, fitness tips hindi, hindi fitness channel, muscle building, full body workout, plan",61634,208,864277,2023-01-05T05:59:59Z,MIND WITH MUSCLE
ngwEZMUMDfU,My 6-Day Workout Split 🦾,,,165216,870,3185290,2024-05-13T16:20:48Z,Hussein
_CuJMk9TeaQ,4 Exercises To Grow Massive Shoulders 🦾,,,144374,309,3668993,2024-08-05T15:35:12Z,Hussein
LAy0b3-Gj4Q,Best home chest workouts #shorts#fitness#gym,,,489096,1231,10929563,2023-06-18T04:25:02Z,Dhanush Amin
0LMbNDzO-1s,LET'S GET RID OF FLABBY ARMS❤️,,,44119,121,692492,2024-07-04T07:41:03Z,SquatCouple
f08wZkiEsZQ,Shoulder Workout 🔥 | In Gym Shoulder Workout for GROWTH,"TRAIN WITH ME! 
Build your dream physique and get in phenomenal shape with my fitness app designed to get you results.
Join today: https://burnandbuildapp.com/ 

My socials: 
Instagram: https://www.instagram.com/ashtonhallofficial/ 
TikTok: https://www.tiktok.com/@ashtonhallofficial",,279832,787,5393040,2023-08-10T18:25:58Z,Ashton Hall
GD6yRQ85zZk,100gm Protein For Vegetarians || Full Day of Eating #fitness #youtubeshorts #shorts #gym,Instagram - Vinu _Arora_Fitness,,276062,1970,5068491,2022-07-05T11:05:13Z,Vinu Arora Fitness
-3HVNmsFbPQ,THE PERFECT BACK WORKOUT! #backworkout #upperbodyworkout #gymlife,,,0,143,472461,2024-09-27T00:51:03Z,MDJ FITNESS
v_VICuBSB1Q,4 Exercises To Target Your Whole Back 🦾,,,44754,98,993302,2024-05-08T16:54:19Z,Hussein
oBv666tN4E4,Gyms in 2024☠️,"Gym problems in 2024 really be like this. #fitness #gym #bodybuilding 
@NoelDeyzel",,4151697,25820,82788458,2024-08-04T11:00:44Z,Noel Deyzel
-ye4Dv5AyJE,2020 vs 2024 #shorts#fitness#gym,,,168225,813,3428180,2024-04-29T13:36:35Z,Dhanush Amin
LGAt2tNpXbA,ULTIMATE LEG DAY (5 EXERCISES) #gymworkout #legday #legworkout,,,0,345,789470,2024-09-01T02:31:35Z,MDJ FITNESS
OwNl--M8uV8,Warmup for Gym Beginners 💪🏻#shorts#fitness#gym,,,36086,92,816220,2024-07-01T12:20:11Z,Dhanush Amin
Wki3k1n59nE,Morning vs Evening Workout - What is Best Time To Workout ?,"Best Time to Workout: Morning vs Evening

Morning workouts can kickstart your metabolism, helping your body use fat for energy and keep your energy levels high throughout the day. On the other hand, evening workouts are great because your core temperature is higher, muscles are more flexible, and strength levels peak—perfect for heavy lifting and muscle building.

But honestly, for most people, what matters is *consistency*. Morning, afternoon, or evening, the best time to workout is when it’s sustainable for you. Movement is medicine, no matter the time.

However, if you’re a competitive athlete, you can use mornings for fat loss and evenings for strength gains. Hope this clears up the confusion!

Let me know in the comments—what time do you prefer to workout? #workoutroutine #fatloss #musclegain #bodybuilding #fitnessgoals

(fitness tips, best workout time, morning workout benefits, evening workout benefits, fat loss, muscle building, workout consistency, sustainable fitness, fitness motivation)","best time to workout, morning vs evening workout, morning workout benefits, evening workout benefits, fat loss tips, muscle building tips, workout timing science, fitness tips, morning cardio, evening strength training, metabolism boost workout, workout consistency, exercise for fat loss, best time to exercise, fitness motivation, Abhinav mahajan, Shorts, Shorts youtube",109655,507,1262169,2024-09-21T15:01:03Z,ABHINAV MAHAJAN
K1t-FLe6szc,15 Minute WORKOUT- FULL BODY BARBELL WORKOUT- AMRAP #fitness #hiit #fullbodyworkout #gym #workout,,,20811,95,520727,2023-04-01T02:30:35Z,OmarHiiT 
fHanaVqL0uA,Weight Loss VS Body Toning Workout 🔥,,,95562,376,3175058,2024-09-10T15:29:05Z,MyHealthBuddy
